iter	RMSE
0	0.5501724703
1	0.5166323663
2	0.4864776283
3	0.4575412665
4	0.4302923408
5	0.4060658312
6	0.3815375241
7	0.3585947701
8	0.3388498465
9	0.3197058894
10	0.3011861898
11	0.2840856617
12	0.2688002305
13	0.2545827874
14	0.2414152537
15	0.2287905616
16	0.2174522322
17	0.2062557246
18	0.1957865385
19	0.1865254589
20	0.1777748729
21	0.1696784071
22	0.1619654015
23	0.1551683424
24	0.148557977
25	0.1425947624
26	0.1366829884
27	0.1313742964
28	0.1262964987
29	0.1215693078
30	0.1173843988
31	0.1134111172
32	0.1096328291
33	0.105948106
34	0.1028293307
35	0.09987254815
36	0.09686348373
37	0.09427768055
38	0.0919638064
39	0.08974694195
40	0.08758381062
41	0.0856983798
42	0.0840161208
43	0.08236647039
44	0.08092602473
45	0.07960877742
46	0.07831834959
47	0.07711948401
48	0.07610783445
49	0.0752386698
50	0.07442353352
51	0.07351705122
52	0.07283234118
53	0.07227266216
54	0.07136549315
55	0.07053789469
56	0.07005373324
57	0.06961118688
58	0.06921366572
59	0.06859575429
60	0.06815526018
61	0.06745114457
62	0.06689394655
63	0.0665651163
64	0.06634697341
65	0.06586843998
66	0.06567906406
67	0.0652855279
68	0.06496467894
69	0.06472961917
70	0.06430642148
71	0.0641300922
72	0.06392829197
73	0.06369153335
74	0.06342689931
75	0.06332885916
76	0.06316036519
77	0.0630803576
78	0.06302405808
79	0.06290603124
80	0.06287057837
81	0.06274430877
82	0.06233542853
83	0.06231053787
84	0.06219251616
85	0.06197875754
86	0.06189931464
87	0.06174102214
88	0.06171675484
89	0.06161781299
90	0.06158358555
91	0.0614834732
92	0.06128849656
93	0.06112606766
94	0.06106337436
95	0.06094359253
96	0.06081508459
97	0.06075266864
98	0.06074840731
99	0.06064486194
100	0.06063483757
101	0.06039941771
102	0.06019072416
103	0.06008745057
104	0.06002171651
105	0.05995607522
106	0.05991108785
107	0.05987636244
108	0.05971189077
109	0.05944411273
110	0.05941406349
111	0.05932686815
112	0.0592665872
113	0.05924984132
114	0.05912981669
115	0.05886892891
116	0.05877170362
117	0.05869341403
118	0.05857632965
119	0.05853951763
120	0.05842518205
121	0.05828929603
122	0.05825537632
123	0.0580795329
124	0.05795900378
125	0.05792053043
126	0.05789377357
